school_name,overview_paragraph,language_classes,neighborhood,location,phone_number,website,total_students,Borough
Bronx School of Law and Finance,"The mission of our school is to provide students with the necessary skills to pursue employment and/or higher education through the introduction to careers in law and finance. Students are exposed to the world of finance and law through internships, mentoring, and fieldwork. Our curriculum is enriched under the leadership of our lead partner, the Barnard/Columbia Education program.","Latin, Spanish",Spuyten Duyvil-Kingsbridge,"99 Terrace View Avenue, Bronx NY 10463 (40.877379, -73.912686)",718-561-0113,www.LawandFinance.org,399,BRONX    
Bushwick School for Social Justice,"We are developing a community of young leaders who will demand the best from themselves today and work together for a more just tomorrow. We are committed to providing a challenging curriculum that empowers students to succeed and to be active in the social, cultural, and political lives of their communities and their world. We are committed to ensuring that every student has constant and consistent opportunities for intellectual engagement and becomes confident in facing the pressing issues of the day.",Spanish,Bushwick,"400 Irving Avenue, Brooklyn NY 11237 (40.696457, -73.911751)",718-381-7100,www.BSSJBrooklyn.com,385,BROOKLYN 
Professional Performing Arts High School (PPAS),"Located in the heart of ManhattanÂ’s theater district, this small, personalized school partners with top-rated New York City Arts organizations to provide professional-level training in the performing arts and a competitive academic program. Recognized for our unique arts instruction, we attract master performers and industry players that help guide our students toward the most competitive colleges and conservatories. Our special relationships with local organizations provide access to some of the most modern training facilities in New York City. Our alumni have gone on to prestigious conservatories and appeared in many Broadway productions, box office films, and hit television shows.",Spanish,Clinton,"328 West 48th Street, Manhattan NY 10036 (40.761327, -73.988665)",212-247-8652,www.ppasnyc.org,546,MANHATTAN
Urban Assembly School for the Performing Arts,"We engage students in a college-preparatory curriculum that includes performing arts in all aspects of the academic experience. By using the arts as a teaching tool and allowing students to express themselves, our school breathes creativity into all subjects and builds confidence in all students. Students do not audition to enter our school. Students who may not have had access to artistic study come to our school from all five boroughs. We partner with the Tony Bennett Foundation/Exploring the Arts, the Martha Graham Dance Company, EPIC Theatre Ensemble, and The Collegiate Chorale.",Spanish,Manhattanville,"509 West 129th Street, Manhattan NY 10027 (40.815747, -73.95552)",212-543-4460,http://schools.nyc.gov/SchoolPortals/05/M369/default.htm,350,MANHATTAN
Academy of Urban Planning,"Students at the Academy of Urban Planning use their leadership abilities to achieve academic success. We forge a lasting spirit of community where students, parents, and guardians are welcome, teachers and staff work collaboratively, and all are engaged as partners to provide an exemplary education for our students. We provide students with the academic and social tools they need to pursue goals by stimulating their interests in learning, discovery, and self-expression. The urban planning theme-based curriculum takes students out of the classroom and into their communities to develop skills that will move them toward higher education and careers, while at the same time tapping into their innate curiosity towards the world around them.",Spanish,Bushwick,"400 Irving Avenue, Brooklyn NY 11237 (40.696457, -73.911751)",718-381-7100,www.aupnyc.org,227,BROOKLYN 
Bronx Collaborative High School,"Bronx Collaborative students are academic detectives, bringing New York CityÂ’s unique resources and rich history into the classroom to investigate and solve real-world challenges. Teachers connect students with community leaders, organizations, and professionals to collaborate on exciting projects. These real-world teamwork experiences offer students feedback that prepares them for success in college and careers. Teachers and counselors know our families, recognize studentsÂ’ talents, and support their needs from the first day of school to graduation. We prepare students for success after high school with special attention to preparing for four-year colleges. Restorative practices and social justice are key features of the school activities.","Japanese, Spanish",Van Cortlandt Village,"100 West Mosholu Parkway South, Bronx NY 10468 (40.879958, -73.889011)",718-543-1023,www.bxchs.org,353,BRONX    
New Explorers High School,"In our state-of-the-art building, our students realize their potential in academics and creative expression through projects, hands-on activities, and our thriving visual art, dance, drama, and music programs. We offer individual attention, guidance, and tutorial assistance in the content areas and additional support for the Regents exams. We promote community involvement and activities, uniting staff, parents, and the community. We offer workshops for students and parents/guardians, as well as guidance and assistance with referrals to the agencies that serve their needs.","Russian, Spanish",E. Concourse-Concourse Village,"730 Concourse Village West, Bronx NY 10451 (40.821828, -73.922366)",718-292-4150,www.myNEHS.info,426,BRONX    
Williamsburg Preparatory School,"Williamsburg Preparatory High School is a small school with a big mission. We take ordinary kids and get extraordinary results. We provide a college preparatory education that focuses on supporting the whole child. Our school is built on 4 SHIPS: relationship, citizenship, leadership, and scholarship, and students are given individual attention to meet the expectations of these SHIPs. During 9th and 10th grade, students learn the skills necessary to be successful in high school, and take a majority of their Regents exams while being regularly exposed to a Common Core aligned curriculum. 11th and 12th grade students concentrate on college preparatory courses to prepare them for the next stage of their life.",Spanish,Williamsburg,"257 North 6th Street, Brooklyn NY 11211 (40.715561, -73.954815)",718-302-2306,www.williamsburgprep.com,680,BROOKLYN 
Teachers Preparatory High School,"We provide a curriculum that encourages students to enter teaching and related professions. We offer two programs that begin in the tenth grade. Our Arts Centered Program is for students interested in the arts, including studio art, performance art, dance, and music. Our Teach for Tomorrow program is for students interested in careers in education. Teach for Tomorrow includes training at local elementary and middle schools.",Spanish,Brownsville,"226 Bristol Street, Brooklyn NY 11212 (40.665568, -73.912102)",718-498-2605,www.Teachersprep.org,369,BROOKLYN 
International High School at Prospect Heights,"We are a small school where teachers and other staff work in teams to help new immigrant students learn English and prepare for college and life after high school. We think highly of what our students bring to our school, especially their native language and culture. We help students learn what they need to learnÂ—academically, socially and emotionallyÂ—no matter where they begin.",,Crown Heights South,"883 Classon Avenue, Brooklyn NY 11225 (40.669805, -73.960689)",718-230-6333,schools.nyc.gov/schoolportals/17/k524,417,BROOKLYN 
Kingsborough Early College School,"At Kingsborough Early College School (KECS), all students have the opportunity to earn a tuition-free Associate Degree from Kingsborough Community College (KCC) during their time in secondary school. We offer instructional supports, small class size, and access to the KCC campus as early as sixth grade. To promote higher order thinking, students learn through inquiry, enrichment, and a challenging academic program. Our focus on youth development fosters confidence and self advocacy resulting in students becoming successful adults, prepared to continue their studies.","French, Spanish",Gravesend,"2630 Benson Avenue, Brooklyn NY 11214 (40.593028, -73.986313)",718-333-7850,www.KECSS.info,592,BROOKLYN 
Bronx River High School,"To create an exceptional school, we offer the following programs and services: 1) Advisory: All students have the same Teacher Advisor for their entire high school career. Advisories meet every day in 9th grade, and twice a week thereafter, 2) Blue Engine: We are partnered with Blue Engine, who recruits recent college graduates from top universities across the country to serve as Teaching Assistants in all of our ELA and Math classrooms. We currently have 16 Teaching Assistants who facilitate small-group instruction as well as lunchtime and after-school tutoring every day, 3) College Prep: All students take College Prep classes in junior and senior year, where we guide students through the entire college application process.",Spanish,Schuylerville-Throgs Neck,"3000 East Tremont Avenue, Bronx NY 10461 (40.839775, -73.839583)",718-904-4210,schools.nyc.gov/SchoolPortals/08/X349,298,BRONX    
Renaissance High School for Musical Theater & Technology,"Our small schoolÂ’s familial atmosphere gives students the support and guidance necessary for success both in high school and as they plan for college and/or careers. Teachers and staff use a variety of resources and technology to address the varied learning needs of the student population to ensure that they have access to rigorous and engaging curriculum. In addition, students have access to AP classes, the Advancement Via Individual Determination (AVID) program, student council, club activities (including Musical Theater, Dance, and Drama), and CUNY College Now at Lehman College program for enrollment in college-level courses.",Spanish,Schuylerville-Throgs Neck,"3000 East Tremont Avenue, Bronx NY 10461 (40.839775, -73.839583)",718-430-6390,www.Renaissancemtt.org,452,BRONX    
Coalition School for Social Change,"Coalition School for Social Change utilizes a challenging curriculum and emphasizes college and career preparation. Hands-on learning, cutting-edge technology, and small-group learning are all important aspects of our curriculum. Through our many partnerships, online learning opportunities, and Advanced Placement (AP) Courses, students engage in challenging coursework and a variety of culturally enriching programs. Coalition School for Social Change is committed to helping students develop into leaders, independent thinkers, and life-long learners.",Spanish,East Harlem North,"2351 First Avenue, Manhattan NY 10035 (40.799265, -73.93374)",212-831-5153,http://schools.nyc.gov/SchoolPortals/04/M409/default.htm,232,MANHATTAN
South Bronx Preparatory: A College Board School,"In collaboration with the College Board, our school assists students in mastering a challenging curriculum, guiding them to college entrance, and preparing them for success. Through exposure to state-of-the-art instruction and support, in a respectful and welcoming environment, students are inspired to set the highest academic standards and career goals for themselves. Our students learn to think critically, communicate effectively, and be open to new experiences. They are trained to become lifelong learners who are receptive to a wide range of ideas and beliefs. In turn, a strong school communityÂ—families, teachers, and staff equally committed to these high idealsÂ—supports our students and provides a solid foundation for their success.",Spanish,Mott Haven-Port Morris,"360 East 145th Street, Bronx NY 10454 (40.813612, -73.920851)",718-292-2211,schools.nyc.gov/SchoolPortals/07/X221,654,BRONX    
Community School for Social Justice,"Community School for Social Justice (CSSJ) is an active and caring learning community where young people create and develop the intellectual and social skills to become thoughtful and engaged community members. We honor our studentsÂ’ heritage and values. We embrace a climate of social activism in which students are confident about addressing issues that affect their lives. We provide the emotional and academic supports they need to graduate and succeed in life. Our students learn how to ask questions and examine real-life problems. We guide them toward a sense of power and personal discovery to make change for themselves, their futures, and the world in which they live.",Spanish,West Concourse,"350 Gerard Avenue, Bronx NY 10451 (40.815712, -73.92996)",718-402-8481,www.cssjbronx.org,326,BRONX    
CSI High School for International Studies,"Our challenging and academically demanding program is designed around college preparedness and aligned with Common Core Learning Standards. High standards, rigor, and global themes are infused throughout subjects. Vigorous standards and requirements around student conduct, school tone, and academic citizenship are strictly maintained. Students present comprehensive portfolio and summer projects. Teachers work collaboratively to challenge studentsÂ’ thinking and prepare them for college. Students have opportunities to travel and participate in foreign exchanges, fostering cross-cultural learning.","Chinese (Mandarin), Japanese, Spanish",Todt Hill-Heartland Village,"100 Essex Drive, Staten Island NY 10314 (40.581958, -74.159343)",718-370-6900,www.csihighschool.org,495,STATEN IS
Urban Assembly New York Harbor School,"Urban Assembly New York Harbor School focuses on Marine Science, Marine Technology, and Marine Policy. We believe in learning by doing. Students should expect to spend time outdoors in sites all over New York Harbor in all seasons. With our partners, we work to develop authentic activities on, around, and related-to the water that create a sense of responsibility to New York Harbor and develop a new generation of maritime advocates, enthusiasts, workers, and decision-makers. New York Harbor SchoolÂ’s location on Governors Island is easily accessible from Lower Manhattan, Brooklyn, and Staten Island.","Latin, Spanish",Governors Island,"10 South Street, Slip 7, Manhattan NY 10004 (40.689493, -74.018941)",212-458-0800,www.newyorkharborschool.org,422,MANHATTAN
School of the Future High School,The School of the Future is a student-centered and challenging school with the goal of preparing all graduates to enter the college or profession of their choice. Our students learn to think critically and solve problems in a supportive environment. We challenge our students to exceed the expectations set by the New York State Board of Regents by preparing them for research-based exhibition presentations in order to graduate.,"French, Spanish",Gramercy,"127 East 22nd Street, Manhattan NY 10010 (40.739121, -73.985323)",212-475-8086,www.sof.edu,747,MANHATTAN
Manhattan International High School,We serve recent immigrant students who are new learners of English. Our staff creates challenging academic curricula designed to teach our students English and provide them with the academic skills and knowledge necessary for success in careers and higher education. Our small community of learners works collaboratively on a wide variety of hands-on projects in all content areas in order to support one anotherÂ’s linguistic and academic growth.,,Lenox Hill,"317 East 67th Street, Manhattan NY 10065 (40.765638, -73.959777)",212-517-6728,http://mihs.nycdoe.org,342,MANHATTAN
The Brooklyn School for Math and Research (BSMARt),"Brooklyn School for Math and Research wants each of its graduates to make significant contributions to the world. To make that happen, we provide our students with the support and training they need to master mathematics and research. We use math to develop a framework for understanding the world around us and we use research to validate our theories about how the world works. Every student develops competence, confidence, and critical thinking skillsÂ—tools that drive their success in college, university, and careers.","Chinese (Mandarin), Spanish",Bushwick,"400 Irving Avenue, Brooklyn NY 11237 (40.696457, -73.911751)",718-381-7100,www.bsmartnow.com,268,BROOKLYN 
International High School at Union Square,"The mission of International High School at Union Square is to prepare our multicultural student population of recent immigrants to embark on individualized pathways towards skill development, graduation, college, and careers. Our students are immersed in experiential, interdisciplinary projects and English language instruction in all content areas to facilitate their language development and increase content knowledge within a supportive, personalized atmosphere. Drawing upon diversity as a driving force, we empower our students to collaborate, advocate for themselves and others, and identify as global citizens.",French,Gramercy,"40 Irving Place, Manhattan NY 10003 (40.735361, -73.987064)",212-533-2560,www.ihs-us.org,356,MANHATTAN
International High School at LaGuardia Community College,"We are a small, multicultural high school on the campus of LaGuardia Community College. All of our students are new to the country. We focus on English language development. Our teachers collaborate on interdisciplinary teams. We prepare English Language Learners for success in college and careers. Students develop their academic and English skills by completing individual and group projects. Students present portfolios for graduation and are able to stay for a free year of college as part of our Early College Program after they complete their high school graduation requirements within four years. While in the Early College Program, we provide students with academic support classes to ensure their success in college.","American Sign Language, Arabic, Bengali, Chinese (Mandarin), French, German, Haitian Creole, Hindi, Korean, Polish, Portuguese, Punjabi, Russian, Spanish, Urdu",Hunters Point-Sunnyside,"45-35 Van Dam Street, Long Island City NY 11101 (40.743253, -73.933316)",718-392-3433,www.ihsnyc.org,518,QUEENS   
Quest to Learn,"At Quest to Learn, teaching, learning, and student life connect academic content and skills with 21st century literacies: systems thinking, teamwork, collaborative problem solving, digital citizenship, empathy, and design for innovation. Our goal is to create opportunities for students to develop habits of mind in the contexts of different content areas and become lifelong learners who are caring, reflective, creative, independent thinkers, and successful in college and careers.","French, Spanish",Chelsea-Union Sq,"351 West 18th Street, Manhattan NY 10011 (40.743407, -74.00254)",212-488-3645,http://schools.nyc.gov/SchoolPortals/02/M422/default.htm,662,MANHATTAN
Pathways in Technology Early College High School (P-TECH),"At Pathways in Technology Early College High School (P-TECH), students drawn to future careers in information technology (IT), computers, engineering, math, and science receive individualized support in preparing for and securing an entry-level position in the highly competitive IT industry. As a founding partner of the school, IBM (and other corporations) will provide all students with internship and training opportunities, exposing them to real-world technology careers. In addition, P-TECH students are able to earn an Associate degree or up to two years of college credit from CUNY's New York City College of Technology Â– at no cost Â– while still in high school.","French, Spanish",Crown Heights North,"150 Albany Avenue, Brooklyn NY 11213 (40.675905, -73.939282)",718-221-1593,www.ptechnyc.org,517,BROOKLYN 
Bushwick Leaders High School for Academic Excellence,"Bushwick Leaders High School for Academic Excellence is a collaboration between East Brooklyn Congregations, the Department of Education, and community educators and leaders. It provides a quality education to students in the Bushwick community by building relationships among parents, teachers, and students in a nurturing environment where students learn by doing. Students explore career opportunities through community service, college trips, a corporate mentoring program, and an integrated arts program. With a focus on a challenging academic curriculum, all students are prepared for work and college. As a result of our programming, students receive maximum instructional time as well as the opportunity for extra help in all subject areas.",Spanish,Bushwick,"797 Bushwick Avenue, Brooklyn NY 11221 (40.695436, -73.927349)",718-919-4212,www.bushwickleaders.org,274,BROOKLYN 
