county_ID,school_ID,school_name,overview_paragraph,language_classes,neighborhood,location,phone_number,website,total_students,borough
0,1610612749,Stephen T. Mather Building Arts & Craftsmanship High School,"Are you hoping four years of high school will lead you to college, a challenging career, or both? Do you like projects, working with your hands, and learning by doing? How about field trips and exploring outdoors all year? Are you creative, inquisitive, action-oriented, responsible, a positive risk-taker, collaborative, and conscientious? At our school you will prepare for college and beyond through hands-on/minds-on learning and skills training. Partnered with the National Park Service (NPS), our school offers CTE pathways in the specialized building arts or landscape stewardship, all through the lens of historic preservation. You will build a strong academic foundation and learn solid trade skills, opening doors to a successful future.",,Clinton,"439 West 49th Street, Manhattan NY 10019 (40.763655, -73.990318)",212-399-3520,www.MatherHSNYC.org,282,MANHATTAN
0,1610612750,Queens Gateway to Health Sciences Secondary School,"Queens Gateway to Health Sciences Secondary School (Gateway), Â‘The Public School with a Private Flair,Â’ is committed to discipline and hard work. We are proud of the high academic achievement of our students, who are currently recognized for their performance in mathematics. Our focus is on Health Careers and students are required to participate in the Hospital Experience Program at Queens Hospital Center. Our nurturing school environment includes staff, parents and supportive partners. Together, we hold high expectations for the success of all students.",Spanish,Flushing Heights-Hillcrest,"160-20 Goethals Avenue, Jamaica NY 11432 (40.718027, -73.805923)",718-969-3155,www.queensgateway.com,726,QUEENS   
0,1610612751,World Journalism Preparatory: A College Board School,"At World Journalism Preparatory, journalism is a tool used to share learning and practice the habits of critical thinking in regard to citizenship and democracy. Student publications include a school newspaper, magazine, news broadcast program, podcasts, websites, and blogs. Opportunities to be immersed in journalism exist through fieldwork, creative projects, performances, interviews, and readings set in the community. The school has writing labs for parents as well as students. Students visit television networks, newspapers, publishers, colleges, and other post-secondary schools.",Spanish,Auburndale,"34-65 192nd Street, Flushing NY 11358 (40.764884, -73.789365)",718-461-2219,www.wjps.org,597,QUEENS   
0,1610612752,Frank Sinatra School of the Arts High School,"It is the policy of Frank Sinatra School of the Arts (FSSA) High School that every student receives the most challenging academic and arts program possible. We offer every student the opportunity to take four years of science and math in addition to four years of English and social studies. The studio arts program provides students an intensive sequential study of an art form that includes the chance to explore the history, cultural significance, and aesthetics of their selected art form. Students will be introduced to all of the disciplines offered at FSSA through a curriculum that enables students to make connections with all art forms, fostering a true artistic community.",Spanish,Astoria,"35-12 35th Avenue, Astoria NY 11106 (40.756099, -73.925182)",718-361-9920,www.FrankSinatraSchoolOfTheArts.org,828,QUEENS   
0,1610612753,Bronx High School for Law and Community Service,"Our mission at Bronx High School for Law and Community Service is to support self-motivation, intellectual curiosity, and integrity. Graduates successfully achieve their goals in college, career, and beyond. We are a small high school with a four-year college and career plan focused on law enforcement and service to those in need. It is our belief that all people, regardless of their socioeconomic status or ethnic background, can make meaningful contributions to humanity by serving others. With the help of our partners, students are offered meaningful experiences in their chosen area of interest.","Italian, Spanish",Belmont,"500 East Fordham Road, Bronx NY 10458 (40.859466, -73.888625)",718-733-5274,schools.nyc.gov/SchoolPortals/10/X439,392,BRONX    
0,1610612754,Benjamin Franklin High School for Finance & Information Technology,"Our mission is to provide young men and women with the foundations for success in college and for careers in Information Technology (IT) and Finance. We support studentsÂ’ growth and learning while providing strong foundations and preparation for college and professional life. As a CTE school, we nurture and support our students while providing rich, industry-approved coursework and recognized certification in the fields of IT and Finance. Our students graduate with the 21st century skills to achieve success in any educational pursuit as active citizens and advocates for their community.",,Cambria Heights,"207- 01 116th Avenue, Cambria Heights NY 11411 (40.698786, -73.74633)",718-276-0150,schools.nyc.gov/schoolportals/29/Q313,205,QUEENS   
0,1610612755,East Side Community School,"We are a small college preparatory school that takes pride in our engaging and challenging curriculum. In all classes, our students creatively apply what they learn to complete interesting and rigorous projects. Our teachers know our students well and provide the support they need to succeed. Because we believe that it is important for students to discover and develop their passions, we offer our students an amazing amount of extra curricular activities and travel opportunities that they enjoy tremendously. East Side is a great setting for students who are interested in being part of a vibrant and diverse community that focuses on academic, social, and emotional growth.",Spanish,East Village,"420 East 12th Street, Manhattan NY 10009 (40.729152, -73.982472)",212-460-8467,www.eschs.org,677,MANHATTAN
0,1610612756,Independence High School,"Independence High School is a high school which embraces teaching and learning in a small, caring environment with high academic standards. We offer multicultural, interdisciplinary curriculum with an infusion of the arts and technology. Through enhanced guidance services, an advisor works with each student and parent to achieve academic goals and set post-secondary plans. We envision our high school community, which encompasses students, staff, and parents to be actively engaged in maintaining academic excellence, to help foster self-esteem, and to develop healthier decision-making skills so that students may develop and work up to their full potential. We nurture a passion for learning and problem-solving skills using Restorative Practices in an environment built on high accountability and high support. Families will be encouraged to maintain a high level of engagement with the school. College visits, career fairs, and guest speakers from local and distant colleges are frequently set throughout the year. Our students explore entry-level careers via collaboration with a successful community-based organization.","French, Latin, Spanish",Clinton,"850 10th Avenue, Manhattan NY 10019 (40.767848, -73.98861)",212-262-8067,schools.nyc.gov/schoolportals/02/M544,314,MANHATTAN
0,1610612757,High School for Media and Communications,"The High School for Media and Communications is a small learning community whose mission is to provide a rigorous education that encourages and inspires inquiry, creativity, critical thinking, and free expression. Our responsibility is to provide a learning environment that is engaging and culturally and socially responsive in order to develop lifelong learners who will succeed in college and future careers, and become productive citizens.",Spanish,Washington Heights N.,"549 Audubon Avenue, Manhattan NY 10040 (40.856532, -73.92606)",212-927-1841,www.hsmcnyc.org,427,MANHATTAN
0,1610612758,Vanguard High School,"Our school community is committed to helping our students become articulate, analytical, reflective, and empathetic citizens. Respect for self and others is central to achieving our goals. Our advisory system maintains close ties with our students and their families. As a member of the Coalition of Essential Schools, we adhere to the principles of small class sizes, longer block scheduling, shared planning and instruction, cooperative learning, project-based curriculum, and portfolio-based assessment in classes and graduation. Class discussions and assignments adhere to the Coalition Habits of Mind: using evidence, investigating points of view, making connections, and seeking relevance.","French, Spanish",Lenox Hill,"317 East 67th Street, Manhattan NY 10065 (40.765638, -73.959777)",212-517-5175,www.vanguardnyc.net,461,MANHATTAN
0,1610612759,"Queens School of Inquiry, The","The Queens School of Inquiry is an early college school designed to prepare students to succeed in college. Our students have the opportunity to earn up to 62 tuition-free Queens College credits while still in high school. We help students develop academic skills in an environment that promotes inquiry-based learning and self-management. A close collaboration with Queens College, CUNY, and the Bill & Melinda Gates Foundation, along with a dedicated faculty, enables us to promote college readiness and career awareness. We are a neighborhood school that emphasizes real-life applications of academic content in our effort to educate caring and ethical citizens.","Japanese, Latin, Spanish",Kew Gardens Hills,"158-40 76 Road, Fresh Meadows NY 11366 (40.724195, -73.80938)",718-380-6929,www.queensinquiry.com,553,QUEENS   
0,1610612760,Young Women's Leadership School of Brooklyn (TYWLS),"in order to maximize academic achievement, social and emotional well-being, and post-secondary success. TYWLS is supported by Young Women's Leadership Network and its CollegeBound Initiative in order to replicate the best practices of private and independent girls schools. TYWLS of Brooklyn opened in 2008 as the fifth school in the network. TYWLS strives to instill in students a sense of self-efficacy and community responsibility, characteristics which will support them as they become the leaders of the next generation.",Spanish,Bushwick,"325 Bushwick Avenue, Brooklyn NY 11206 (40.705005, -73.93879)",718-387-5641,www.ywlnetwork.org,375,BROOKLYN 
0,1610612761,High School of Economics and Finance,"We offer a challenging academic program with additional requirements, including a senior research thesis and a four-year program of coursework in economics and finance. Students also complete internships with major financial companies. Our diverse, welcoming community extends beyond our school doors to include corporate partners from the surrounding Wall Street area. A full-time college counseling staff coordinates the college admissions process. Students find enrichment in our various athletic, artistic, civic, and cultural programs and our state-of-the-art library and technology center.","French, Spanish",Lower Manhattan,"100 Trinity Place, Manhattan NY 10006 (40.70927, -74.012328)",212-346-0708,www.ecoandfin.org,761,MANHATTAN
0,1610612762,Bronx Collegiate Academy,The mission of Bronx Collegiate Academy (BCA) is to ensure that each student graduates prepared for the rigors of college. BCA is a small school that provides all students with the support and individual attention they need in order to achieve academic success.,"American Sign Language, French, Spanish",E. Concourse-Concourse Village,"240 East 172nd Street, Bronx NY 10457 (40.839307, -73.911366)",718-410-4077,sites.google.com/site/bronxcollegiateacademy,395,BRONX    
0,1610612763,Bronx Academy for Software Engineering (BASE),"Bronx Academy for Software Engineering (BASE) is a CTE high school preparing students to work and play in the world of software design and programming. Classes such as Mobile App Design use the tools of software engineering to focus on real-world problem solving. Internships with industry leaders give students experience with cutting-edge technology. Seminar classes help students make connections across their academic classes, get to know each other, and develop post-graduation plans. BASE graduates are prepared to develop their skills in college, enter the software industry as programmers or website designers, and understand and help the communities they live in.",Italian,Belmont,"2474 Crotona Avenue, Bronx NY 10458 (40.855392, -73.882487)",718-733-6024,www.bronxsoftware.org,328,BRONX    
0,1610612764,Bronx School of Law and Finance,"The mission of our school is to provide students with the necessary skills to pursue employment and/or higher education through the introduction to careers in law and finance. Students are exposed to the world of finance and law through internships, mentoring, and fieldwork. Our curriculum is enriched under the leadership of our lead partner, the Barnard/Columbia Education program.","Latin, Spanish",Spuyten Duyvil-Kingsbridge,"99 Terrace View Avenue, Bronx NY 10463 (40.877379, -73.912686)",718-561-0113,www.LawandFinance.org,399,BRONX    
0,1610612765,Bushwick School for Social Justice,"We are developing a community of young leaders who will demand the best from themselves today and work together for a more just tomorrow. We are committed to providing a challenging curriculum that empowers students to succeed and to be active in the social, cultural, and political lives of their communities and their world. We are committed to ensuring that every student has constant and consistent opportunities for intellectual engagement and becomes confident in facing the pressing issues of the day.",Spanish,Bushwick,"400 Irving Avenue, Brooklyn NY 11237 (40.696457, -73.911751)",718-381-7100,www.BSSJBrooklyn.com,385,BROOKLYN 
0,1610612766,Professional Performing Arts High School (PPAS),"Located in the heart of ManhattanÂ’s theater district, this small, personalized school partners with top-rated New York City Arts organizations to provide professional-level training in the performing arts and a competitive academic program. Recognized for our unique arts instruction, we attract master performers and industry players that help guide our students toward the most competitive colleges and conservatories. Our special relationships with local organizations provide access to some of the most modern training facilities in New York City. Our alumni have gone on to prestigious conservatories and appeared in many Broadway productions, box office films, and hit television shows.",Spanish,Clinton,"328 West 48th Street, Manhattan NY 10036 (40.761327, -73.988665)",212-247-8652,www.ppasnyc.org,546,MANHATTAN
0,1610612739,Urban Assembly School for the Performing Arts,"We engage students in a college-preparatory curriculum that includes performing arts in all aspects of the academic experience. By using the arts as a teaching tool and allowing students to express themselves, our school breathes creativity into all subjects and builds confidence in all students. Students do not audition to enter our school. Students who may not have had access to artistic study come to our school from all five boroughs. We partner with the Tony Bennett Foundation/Exploring the Arts, the Martha Graham Dance Company, EPIC Theatre Ensemble, and The Collegiate Chorale.",Spanish,Manhattanville,"509 West 129th Street, Manhattan NY 10027 (40.815747, -73.95552)",212-543-4460,http://schools.nyc.gov/SchoolPortals/05/M369/default.htm,350,MANHATTAN
0,1610612744,Academy of Urban Planning,"Students at the Academy of Urban Planning use their leadership abilities to achieve academic success. We forge a lasting spirit of community where students, parents, and guardians are welcome, teachers and staff work collaboratively, and all are engaged as partners to provide an exemplary education for our students. We provide students with the academic and social tools they need to pursue goals by stimulating their interests in learning, discovery, and self-expression. The urban planning theme-based curriculum takes students out of the classroom and into their communities to develop skills that will move them toward higher education and careers, while at the same time tapping into their innate curiosity towards the world around them.",Spanish,Bushwick,"400 Irving Avenue, Brooklyn NY 11237 (40.696457, -73.911751)",718-381-7100,www.aupnyc.org,227,BROOKLYN 
